,time,temperature,rho,dRho
0,0,297,100,0
1,99.1199999999999,313.52,100,0
2,209.22,331.87,100,0
3,253.26,339.21,100,0
4,374.34,359.39,100,0
5,484.44,377.74,99.9341,0.003591280653951
6,583.5,394.25,99.9341,0
7,671.58,408.93,99.8681,0.00449591280654
8,748.62,421.77,99.8021,0.005140186915888
9,858.72,440.12,99.6702,0.007188010899183
10,979.86,460.31,99.6702,0
11,1078.92,476.82,99.6043,0.003991520290733
12,1222.02,500.67,99.4064,0.008297693920335
13,1343.16,520.86,99.3404,0.003268945022288
14,1486.26,544.71,99.1425,0.008297693920336
15,1574.34,559.39,99.0766,0.004489100817439
16,1717.44,583.24,98.8787,0.008297693920336
17,1816.56,599.76,98.6808,0.011979418886198
18,1959.66,623.61,98.4829,0.008297693920336
19,2091.78,645.63,98.1531,0.014977293369664
20,2201.88,663.98,97.9552,0.010784741144414
21,2300.94,680.49,97.6254,0.019975772259237
22,2422.02,700.67,97.2296,0.019613478691774
23,2576.16,726.36,96.504,0.028244453094589
24,2664.24,741.04,95.7784,0.049427792915531
25,2741.28,753.88,95.1847,0.046238317757009
26,2807.34,764.89,94.3932,0.071889191643961
27,2884.44,777.74,93.7995,0.04620233463035
28,2917.44,783.24,93.4697,0.059963636363635
29,2983.5,794.25,92.7441,0.065903723887375
30,3038.58,803.43,92.0185,0.079041394335512
31,3170.64,825.44,90.6992,0.05994093593821
32,3302.76,847.46,89.2481,0.065899182561309
33,3445.92,871.32,87.8628,0.058059513830678
34,3522.96,884.16,87.2692,0.046230529595016
35,3600,897,86.6755,0.046238317757009
36,3688.08,911.68,85.9499,0.049427792915532
37,3787.2,928.2,85.5541,0.023958837772397
38,3963.3,957.55,84.6966,0.029216354344123
39,4084.44,977.74,84.3008,0.019603764239723
40,4216.56,999.76,83.9051,0.017970027247956
41,4326.6,1018.1,83.7072,0.010790621592149
42,4458.72,1040.12,83.5752,0.00599455040872
43,4557.84,1056.64,83.4433,0.007984261501211
44,4689.9,1078.65,83.2454,0.008991367560199
45,4822.02,1100.67,83.2454,0
46,4932.12,1119.02,83.2454,0
47,5064.24,1141.04,83.1795,0.002992733878292
48,5185.32,1161.22,83.1135,0.003270564915758
49,5317.44,1183.24,82.9156,0.008987284287012
50,5438.58,1203.43,82.9156,0
51,5559.66,1223.61,82.7177,0.009806739345887
52,5724.78,1251.13,82.4539,0.009585755813953
