,Unnamed: 0,time,temperature,rho,dRho,std_dRho
0,0,0.0,297.0,100.0,0.0,0.01
1,1,99.1199999999999,313.52,100.0,0.0,0.01
2,2,209.22,331.87,100.0,0.0,0.01
3,3,253.26,339.21,100.0,0.0,0.01
4,4,374.34,359.39,100.0,0.0,0.01
5,5,484.44,377.74,99.9341,0.0035912806539509998,0.01
6,6,583.5,394.25,99.9341,0.0,0.01
7,7,671.58,408.93,99.8681,0.00449591280654,0.01
8,8,748.62,421.77,99.8021,0.005140186915888,0.01
9,9,858.72,440.12,99.6702,0.0071880108991830005,0.01
10,10,979.86,460.31,99.6702,0.0,0.01
11,11,1078.92,476.82,99.6043,0.0039915202907329994,0.01
12,12,1222.02,500.67,99.4064,0.008297693920335001,0.01
13,13,1343.16,520.86,99.3404,0.0032689450222880005,0.01
14,14,1486.26,544.71,99.1425,0.008297693920335998,0.01
15,15,1574.34,559.39,99.0766,0.004489100817439,0.01
16,16,1717.44,583.24,98.8787,0.008297693920335998,0.01
17,17,1816.56,599.76,98.6808,0.011979418886198,0.01
18,18,1959.66,623.61,98.4829,0.008297693920335998,0.01
19,19,2091.78,645.63,98.1531,0.014977293369664,0.01
20,20,2201.88,663.98,97.9552,0.010784741144413999,0.01
21,21,2300.94,680.49,97.6254,0.019975772259237,0.01
22,22,2422.02,700.67,97.2296,0.019613478691774,0.01
23,23,2576.16,726.36,96.50399999999999,0.028244453094589003,0.01
24,24,2664.24,741.04,95.7784,0.049427792915530996,0.01
25,25,2741.28,753.88,95.1847,0.046238317757009005,0.01
26,26,2807.34,764.89,94.3932,0.071889191643961,0.01
27,27,2884.44,777.74,93.7995,0.04620233463034999,0.01
28,28,2917.44,783.24,93.4697,0.059963636363635,0.01
29,29,2983.5,794.25,92.7441,0.06590372388737499,0.01
30,30,3038.58,803.43,92.0185,0.07904139433551201,0.01
31,31,3170.64,825.44,90.6992,0.059940935938210003,0.01
32,32,3302.76,847.46,89.2481,0.065899182561309,0.01
33,33,3445.92,871.32,87.8628,0.058059513830678,0.01
34,34,3522.96,884.16,87.2692,0.046230529595016,0.01
35,35,3600.0,897.0,86.6755,0.046238317757009005,0.01
36,36,3688.08,911.68,85.9499,0.049427792915532,0.01
37,37,3787.2,928.2,85.5541,0.023958837772397004,0.01
38,38,3963.3,957.55,84.6966,0.029216354344122997,0.01
39,39,4084.44,977.74,84.3008,0.019603764239723,0.01
40,40,4216.56,999.76,83.9051,0.017970027247956002,0.01
41,41,4326.6,1018.1,83.7072,0.010790621592149002,0.01
42,42,4458.72,1040.12,83.5752,0.00599455040872,0.01
43,43,4557.84,1056.64,83.4433,0.007984261501211,0.01
44,44,4689.9,1078.65,83.2454,0.008991367560199,0.01
45,45,4822.02,1100.67,83.2454,0.0,0.01
46,46,4932.12,1119.02,83.2454,0.0,0.01
47,47,5064.24,1141.04,83.1795,0.0029927338782920004,0.01
48,48,5185.32,1161.22,83.1135,0.003270564915758,0.01
49,49,5317.44,1183.24,82.9156,0.008987284287012,0.01
50,50,5438.58,1203.43,82.9156,0.0,0.01
51,51,5559.66,1223.61,82.7177,0.009806739345887,0.01
52,52,5724.78,1251.13,82.4539,0.009585755813953002,0.01
